country,year,infant_mortality_rate,under_five_mortality_rate,child_mortality_rate_aged_1_4_years,neonatal_mortality_rate,mortality_rate_age_10_19,mortality_rate_age_15_24,itn_use_by_children_percentage_of_children_under_age_5_who_slept_under_an_insecticide_treated_mosquito_net_the_night_prior_to_the_survey,percentage_of_households_with_at_least_one_insecticide_treated_mosquito_net_itn,malaria_first_line_treatment_percentage_of_febrile_children_under_age_5_receiving_act_first_line_antimalarial_drug_among_those_receiving_any_antimalarial_drugs,malaria_diagnostics_percentage_of_febrile_children_under_age_5_who_had_a_finger_or_heel_stick_for_malaria_testing,household_with_insecticide_treated_net_itn_and_or_indoor_residual_spraying_irs_percentage_of_households_with_at_least_one_itn_for_every_two_persons_and_or_irs_in_the_past_12_months,careseeking_for_febrile_children_percentage_of_children_under_age_5_with_fever_for_whom_advice_or_treatment_was_sought_from_a_health_facility_or_provider
Democratic Republic of the Congo,2016,71.7953898016544,93.9427881566007,23.8604701091508,29.0300427693787,29.5248026193085,39.3051866885292,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,2017,69.8442231720738,90.7639243797859,22.4905351650567,28.487054731063,28.930337300578,38.6015664164104,NA,NA,NA,NA,NA,NA
Democratic Republic of the Congo,2018,67.8935206139815,87.6467096380946,21.1919876764302,27.977061493645,28.3289286285774,37.9847987725921,51,63,41.9,22.3,26.2,45.9
Democratic Republic of the Congo,2019,66.1081354197287,84.8005079639407,20.0155641709708,27.4148709208366,27.6840512558737,37.2763453398586,NA,NA,NA,NA,NA,NA
El Salvador,2016,12.684615272688,14.7389883535371,2.08076680727154,7.3005925244658,11.5622298909445,20.2146903413618,NA,NA,NA,NA,NA,NA
El Salvador,2017,12.2475804117943,14.2297281536758,2.00672527133311,7.03544363325653,12.7349557327361,22.3506143949189,NA,NA,NA,NA,NA,NA
El Salvador,2018,11.8129306816581,13.7232472565086,1.93315277459949,6.7912420706315,13.4834708282552,23.7618438609719,NA,NA,NA,NA,NA,NA
El Salvador,2019,11.4368759246559,13.285973421219,1.87049005946677,6.56134465379029,13.7458601597765,24.3573196507113,NA,NA,NA,NA,NA,NA
Ghana,2016,37.4116340484201,52.2272932256603,15.3914795795205,25.1142248358335,13.0427892163155,16.0000719816424,52.2,NA,NA,30.3,NA,NA
Ghana,2017,36.1391409570907,50.0284566572172,14.4100837478952,24.4111165184445,12.7504056034269,15.6949268502315,NA,NA,NA,NA,NA,NA
Ghana,2018,34.9553470572576,47.9857543094316,13.5023879083673,23.7450452798802,12.4166216931144,15.3394282556934,48.6,56.7,10.1,32.2,28.6,69
Ghana,2019,33.8933830093959,46.1584446162756,12.6953499660055,23.1267895201887,12.1196701333024,15.0522271367457,54.1,73.7,84.5,34.1,51.8,69
Guinea,2016,67.44978594354,105.241523237544,40.5251499950788,31.4424582398994,21.1701952056608,33.2674113188305,67.9,83.8,16.5,17,48.9,42.4
Guinea,2017,66.3124069356906,103.226528363273,39.5358380064829,31.0682108861955,20.6064926621383,32.6929535334088,NA,NA,NA,NA,NA,NA
Guinea,2018,65.1102834601429,101.095542811292,38.4914484735937,30.7488716831172,20.0160956161913,32.1164766936998,26.6,43.9,18.2,20.5,16.7,62.3
Guinea,2019,63.8197938220145,98.8029728465315,37.3679968810442,30.3671816975958,19.4368105569039,31.4925156807482,NA,NA,NA,NA,NA,NA
India,2016,33.1062993248473,40.9467681290704,8.1089253128345309,24.7383685737881,7.49767834809933,10.941664380197,4.6,0.9,8.5,10.8,0.4,73.2
India,2017,31.3607186417107,38.523494164965,7.39467793750281,23.6524897671826,7.17630262237257,10.5310128435497,NA,NA,NA,NA,NA,NA
India,2018,29.7326021256055,36.2882083429674,6.75649437643444,22.6178722544457,6.88911679815796,10.1949963711527,NA,NA,NA,NA,NA,NA
India,2019,28.2567726682913,34.274759355621804,6.19298032449905,21.6603212522026,6.65222208389316,9.94142913150132,NA,NA,NA,NA,NA,NA
Kenya,2016,34.4508161985405,47.7768022152527,13.8014574921323,22.3109315644485,11.6878299287092,17.1275199235447,NA,NA,NA,NA,NA,NA
Kenya,2017,33.8954491047704,46.4232361143319,12.9673201497346,21.9311949396075,11.4045727729583,16.7571401194049,NA,NA,NA,NA,NA,NA
Kenya,2018,32.8210404509164,44.6161561936504,12.195380830279,21.4812580983916,11.1296528028982,16.4034520888591,NA,NA,NA,NA,NA,NA
Kenya,2019,31.8651455283186,43.1554962072681,11.6619607566189,21.0366393518361,10.8245958866864,16.0230208763989,NA,NA,NA,NA,NA,NA
Malawi,2016,35.2788725768935,50.0483544878471,15.3095868755972,21.9172258718499,12.7949699854062,20.356549039899,42.7,56.9,92.2,52,27,66.9
Malawi,2017,33.5092105466434,46.864058475488,13.8178739820476,21.117267258969,12.2824026292818,19.5952830269635,67.5,82.1,96.4,37.6,41.7,54.4
Malawi,2018,32.0717544456505,43.8851765389297,12.2048531488085,20.4019042869482,11.8598078201534,19.0244938637387,NA,NA,NA,NA,NA,NA
Malawi,2019,30.9118097634882,41.6345344422686,11.0647563212888,19.7914052898581,11.4866557200738,18.5514700196309,NA,NA,NA,NA,NA,NA
Malaysia,2016,6.97420970094395,8.15004580120848,1.18409422167221,4.31197328261927,4.79206882540628,6.96841853053118,NA,NA,NA,NA,NA,NA
Malaysia,2017,7.08607062090591,8.27962663845408,1.20207399879524,4.43436513094256,4.70428276356405,6.85468023772028,NA,NA,NA,NA,NA,NA
Malaysia,2018,7.21612624649455,8.43028440935392,1.22298336522036,4.5420796989284,4.57893968855638,6.68500173697712,NA,NA,NA,NA,NA,NA
Malaysia,2019,7.32075778736948,8.55149065970016,1.23980921529854,4.61427588063968,4.44330520316205,6.5020293231202,NA,NA,NA,NA,NA,NA
Mali,2016,65.2000458019809,104.766458264023,42.3260744552794,34.0691978147312,19.0403728559906,22.6436895262689,NA,NA,NA,NA,NA,NA
Mali,2017,63.4904539827642,101.06242225067,40.1191514039463,33.450901178893,18.8826197294423,22.3878471670075,NA,NA,NA,NA,NA,NA
Mali,2018,61.7918210228008,97.4103156037386,37.9643829365973,32.7891104396158,18.6647825594041,22.1359068813528,79.1,85.1,31,16.4,50.6,52.8
Mali,2019,60.2095438844335,94.0354183066633,35.9929963145196,32.1343670360306,18.400342350875,21.8218678142514,NA,NA,NA,NA,NA,NA
Mozambique,2016,59.8371872710884,81.8132470570225,23.3747383872013,30.348110675422,18.3171005674685,32.4156647237956,NA,NA,NA,NA,NA,NA
Mozambique,2017,57.9360822107185,79.3896324026397,22.7729242007255,29.780585737506,17.8083799214798,31.7760513810831,NA,NA,NA,NA,NA,NA
Mozambique,2018,56.3715870355939,77.0326671192504,21.8953560581818,29.1731151462342,17.3551102224933,31.329722694441,72.7,82.2,98.6,47.9,51,68.6
Mozambique,2019,54.7735391567849,74.2484589159553,20.6034432657701,28.5463444255293,16.8300437785347,30.6543929725131,NA,NA,NA,NA,NA,NA
Niger,2016,50.4593904660313,90.2111873470999,41.8642409632771,25.9210520163424,26.8933360784013,28.7612518642552,NA,NA,NA,NA,NA,NA
Niger,2017,49.1182293277048,86.6414509447344,39.461500656133,25.343034267754,26.1964976928343,28.2070255927558,NA,NA,NA,NA,NA,NA
Niger,2018,47.8877272603189,83.4022946295158,37.3008188093145,24.7862263019981,25.5681306278743,27.6178713953975,NA,NA,NA,NA,NA,NA
Niger,2019,46.7214292121764,80.366102044679,35.2936422400719,24.2568573220051,24.9218804185148,27.0938212781386,NA,NA,NA,NA,NA,NA
Nigeria,2016,78.5220349815553,125.040170019734,50.4820916009112,36.9270107179327,17.3855899300254,20.3029744039594,NA,NA,NA,NA,NA,NA
Nigeria,2017,77.2790210307762,122.798946976277,49.3322759350087,36.6720870816492,17.0591036890469,19.8069012963535,49.1,64.5,20.6,13.8,30.7,63.4
Nigeria,2018,75.7406741595996,120.037728417278,47.9270839031756,36.3023055812939,16.7373398918637,19.3557616656821,52.2,60.6,52,13.8,29.8,72.8
Nigeria,2019,74.1603165903768,117.202078069472,46.4894325124057,35.8506652554379,16.3976077855214,18.9486270145922,NA,NA,NA,NA,NA,NA
Rwanda,2016,29.5588971666792,39.2249746129249,9.96049880630928,17.2478874425181,11.5831805238901,16.0979147653237,NA,NA,NA,NA,NA,NA
Rwanda,2017,28.438561255707,37.4728270373333,9.29870765054769,16.7311934150799,11.1137095136438,15.751252557572,68,84.1,98.7,38.1,55.1,55.6
Rwanda,2018,27.3439694230207,35.8670247520209,8.76266127086256,16.2603994934664,10.7386343699617,15.4569207659273,NA,NA,NA,NA,NA,NA
Rwanda,2019,26.2901337440358,34.3261299642996,8.25296785036872,15.8740839717442,10.3921968334172,15.1746054780619,NA,NA,NA,NA,NA,NA
Timor-Leste,2016,41.8645704527615,49.0098771625108,7.45751225924768,20.968534029513,17.9556604385892,25.4109504381713,55.4,63.6,11.1,24.5,32.7,57.6
Timor-Leste,2017,40.4938703360191,47.2716465703803,7.06381754615942,20.4902903302079,18.5469262046926,26.5834300470149,NA,NA,NA,NA,NA,NA
Timor-Leste,2018,39.1902910607363,45.6185341587837,6.6904435274764396,20.040559671561,18.640408135531,26.9578613717987,NA,NA,NA,NA,NA,NA
Timor-Leste,2019,38.0720249532661,44.2188517968595,6.39011132128919,19.5809785017,18.464289178231,26.8763568026521,NA,NA,NA,NA,NA,NA
Uganda,2016,37.5672035413706,52.7954187763862,15.822627087376,21.6577779656252,19.3303362399957,27.8307100034157,62,78.4,87.8,49,51.1,80.7
Uganda,2017,36.0429635309619,50.2485961910105,14.7367902537288,21.0649225069227,19.24281323588,27.789598515108,NA,NA,NA,NA,NA,NA
Uganda,2018,34.6005033692259,47.967129801279,13.8456944288185,20.5048581735586,18.9726943778123,27.5277142247244,60.3,83,87.7,50.7,58.7,87
Uganda,2019,33.4373256212882,45.8380847614761,12.8297517264842,19.9779490189995,18.6367089060764,27.2073763669112,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2016,39.7507202467751,55.7654252716717,16.6776537747586,21.6203514860483,11.0698268773477,18.4496035213497,54.4,65.6,43.4,NA,38.8,80.1
United Republic of Tanzania,2017,38.3198789283169,53.7531920490705,16.0482813179199,21.1503206454261,10.854347325444,18.2541401732193,54.6,77.9,89.4,43.1,45.4,75.4
United Republic of Tanzania,2018,37.0005085174542,51.8314149342999,15.4007416909819,20.69494736921,10.6020450249196,17.9695915152289,NA,NA,NA,NA,NA,NA
United Republic of Tanzania,2019,35.9767156885252,50.295563670194,14.8532179820708,20.2928086633465,10.3741438509953,17.7088340892636,NA,NA,NA,NA,NA,NA
